asset_type,building_key,tier,band,band_alt,legal_kind,n,n_1,n_low,n_mid,n_high,n_top,max_floor,addr1,addr2,addr3,addr4,place
apartment,038817d5cc590c19f50a6fdafb875c80a64a6b9e4117da24916d3e518f2778e0,metro,m16_25,m21_30,dong,116,7,24,64,20,1,23.0,경기도,부천시,원미구,상동,상동
apartment,038d1b340f4fc2cf5232fbf8e59f05f8c9bda12a3b53d43d7483776fe9e817c0,metro,m16_25,le20,dong,70,5,16,31,16,2,20.0,서울특별시,성북구,동소문동7가,,동소문동7가
apartment,03908b5007b4a404ebde58693a97a97b9bebd32f69f6dd802ed56f73c21f7d74,other_urban,le15,le20,dong,249,18,48,87,76,20,15.0,경상남도,창원시,성산구,반림동,반림동
apartment,039323568630f9cdd3cd1d7aafcc8d6db7be791b8a08dfb89716e7419d805c76,other_urban,m16_25,le20,dong,81,5,16,36,21,3,17.0,경상남도,거제시,장승포동,,장승포동
apartment,03ac2567030758303e68e7a76d1e2d16f31e649b8f2f20c55f21691dc5da8a85,other_urban,ge26,m21_30,dong,73,8,21,28,14,2,26.0,경상남도,양산시,덕계동,,덕계동
apartment,03b870eb7aa7dc652cf69dd063538e307509ae1d74ea9509ca1c5f041586cc43,metro_city,m16_25,le20,dong,95,5,21,41,25,3,20.0,대구광역시,남구,봉덕동,,봉덕동
apartment,03bd0cdee73edfcc9b258110f5896bc5d5571d879c641e7a85672596ffc8975b,metro,m16_25,le20,eup,85,5,33,27,16,4,20.0,경기도,남양주시,진접읍,,진접읍
apartment,03c737736fc4c4c047f1e892956242e44abd547eb50be8b276316f8f97f21b95,other_urban,le15,le20,dong,210,16,41,85,57,11,15.0,충청북도,청주시,서원구,수곡동,수곡동
apartment,03c8b7b607b4a8cf8495839c71beab77505199ec0f9ed6570341fa37a5b57718,nonurban,m16_25,le20,eup,133,6,28,56,37,6,20.0,경상남도,창원시,마산회원구,내서읍,내서읍
apartment,03cb7892a5b09d0c0f03d8fd80d3a1f50acdbe25169ddfec5950e1a5048479bb,other_urban,m16_25,le20,dong,122,8,28,59,24,3,20.0,경상남도,김해시,삼계동,,삼계동
apartment,03dd19ad13b7453813aa5e3aea5199bb93fc9682a9e5ef2644ad3fddb7ec826f,metro,ge26,m21_30,dong,291,5,79,125,74,8,30.0,경기도,남양주시,다산동,,다산동
apartment,03f59df26c7aa1f5c1b69c962e3cda1f278099a969c631e0bb1e3ec4c46f9551,nonurban,le15,le20,eup,107,8,35,43,16,5,15.0,충청남도,예산군,예산읍,,예산읍
apartment,03fc5ad99e35f0a32beff0242d714338adaf726ca2f08336f6ee9ab4e94d66b3,metro_city,m16_25,m21_30,dong,241,9,50,91,85,6,25.0,부산광역시,동래구,안락동,,안락동
apartment,041212999cf2461626dcaf7850b96e785985524ea008cfba8782b22913001dd0,metro_city,m16_25,le20,dong,138,7,37,60,33,1,20.0,대구광역시,수성구,수성동4가,,수성동4가
apartment,0419462041ee5d31f5a058be4461e28ab832bfe34bb21e99cd566b91b9a0c04a,other_urban,m16_25,m21_30,dong,150,7,37,80,25,1,25.0,전북특별자치도,군산시,미장동,,미장동
apartment,043edc01da710ac2f8540bc6e905de74be279c18d6868c6760be1ef5f61a7d88,metro_city,le15,le20,dong,273,14,45,124,64,26,15.0,대구광역시,달서구,신당동,,신당동
apartment,044f438a7254b4cd8dc0858732fd60b4a8c777a7e8b1e78af8129bd81cce53c6,other_urban,le15,le20,dong,109,9,28,41,19,12,15.0,전남광주통합특별시,목포시,용해동,,용해동
apartment,0455c7215826efd2db711324a41ff6f302780e0e61882dfdb13c211fb6ad0eed,metro_city,le15,le20,dong,71,15,0,28,14,14,5.0,대전광역시,동구,용운동,,용운동
apartment,045ae283e3b54245f9cf73617948b4ffb8cc35e76d936e5a7408934c20701733,metro,m16_25,le20,dong,91,5,26,35,21,4,20.0,경기도,용인시,기흥구,상하동,상하동
apartment,045c0d15562ba6a8baec26e9490dc80e7502bfc72841a45ec3ecd2896ef8d018,metro,le15,le20,dong,73,9,15,29,16,4,15.0,서울특별시,구로구,구로동,,구로동
apartment,045e45dae3202256deb2ad97b8fbfe182c0e7b023287dde6abe61d2735497e6c,metro,ge26,ge31,dong,491,19,149,219,103,1,38.0,인천광역시,연수구,송도동,,송도동
apartment,04732a0ab29b93596b0b2ac09280db5ec77535352065668249e6360a5834dcda,metro,le15,le20,dong,169,15,36,69,43,6,15.0,경기도,성남시,중원구,중앙동,중앙동
apartment,0477f91a2107765d89f068e5397fb58d4678c3680bb1c87420c658b463597763,metro,ge26,m21_30,dong,186,5,55,74,51,1,30.0,경기도,고양시,일산동구,식사동,식사동
apartment,048b8f4a233e056432d422882ad93617c0397b9f8b465b14048b3daea35974e4,other_urban,le15,le20,dong,88,7,19,39,21,2,15.0,충청북도,청주시,상당구,금천동,금천동
apartment,049451ec5b6c12113e72bdbcea84ec794f80720275b549f5f307df5b8a073e53,metro,le15,le20,dong,217,11,35,98,58,15,15.0,경기도,수원시,영통구,매탄동,매탄동
apartment,049588719118c6d6637af65a72b4b2f2ce90100babdf08601ad9f6bc6cfae430,metro,m16_25,le20,dong,171,9,34,87,38,3,19.0,경기도,고양시,일산동구,풍동,풍동
apartment,04a0766c90a4315ad8435c52965003f01e55c08de508939fc63c56dcca2af8d7,metro,m16_25,m21_30,dong,110,7,38,42,22,1,25.0,서울특별시,동대문구,휘경동,,휘경동
apartment,04a5a487c58b3de99fd5ce02691f156f9e4b981cb223a2c352085f676c4d121c,metro,le15,le20,dong,88,6,18,37,20,7,15.0,인천광역시,부평구,부평동,,부평동
apartment,04aefd237f6ebc88acc7ab545f153472243ad5f41967c651010f1a2772cda575,other_urban,m16_25,le20,dong,164,11,40,72,38,3,18.0,강원특별자치도,원주시,무실동,,무실동
apartment,04b14922ddd693648b92372fd86a40a4b6d609600bddcc5334f358f50e82c724,other_urban,le15,le20,dong,147,22,0,58,38,29,5.0,경상남도,창원시,성산구,사파동,사파동
apartment,04b637e0bd55d265e827c0dbbb5d252246e41ade23de4bc03d59f417403b25dc,nonurban,le15,le20,eup,51,5,9,22,12,3,15.0,전남광주통합특별시,보성군,벌교읍,,벌교읍
apartment,04b6a3e63099618b66814aeb722ffc7bcb29449f5cd67e71602cc9e1e849cb0b,nonurban,m16_25,le20,eup,228,12,64,105,44,3,20.0,경상북도,포항시,북구,흥해읍,흥해읍
apartment,04d4cf5bf978bb23c3b91ea9d02813e373b105a5cce10adb82ca30fea5415765,nonurban,le15,le20,eup,261,22,59,110,55,15,15.0,충청남도,태안군,태안읍,,태안읍
apartment,04de920c8af7c1bb66657d8fbc822345663fa7fa596382bbc9055bed494a0a2c,metro_city,le15,le20,eup,87,9,15,28,28,7,15.0,부산광역시,기장군,기장읍,,기장읍
apartment,04e0a0cb7650b42be5aad4b419b689857545b5d81dd9f81268e1382eb9cd8495,metro,m16_25,m21_30,dong,172,7,46,71,45,3,25.0,인천광역시,제물포구,송림동,,송림동
apartment,04e747070ecc82aaeb4136b722db4ab2af5374b4e1435e157fadab52d8811a01,metro,m16_25,m21_30,dong,134,6,27,55,40,6,25.0,인천광역시,계양구,효성동,,효성동
apartment,04eb7a1f4501d346da5430eb08ce1deaa912c444c5b6c9bb5c3c57cd4efe0e7e,metro,m16_25,le20,dong,135,7,42,58,23,5,20.0,경기도,용인시,기흥구,상갈동,상갈동
apartment,04ed79fe1c5d2ca7005c31dd75a40446bfc2f3a4e384f77888f1a4380b549c22,metro,m16_25,le20,dong,124,5,32,56,27,4,18.0,경기도,군포시,산본동,,산본동
apartment,04f42b52c51faf2b0c0f8d7a7b2ca81c03df97ada360acd43ef605351d636c0c,metro,ge26,m21_30,dong,264,16,69,123,53,3,27.0,서울특별시,관악구,봉천동,,봉천동
apartment,04f4fc89a2daca624f86a5f8816151c2e90973fd13b79008c6fa98a394cc17f5,other_urban,le15,le20,dong,85,12,30,26,15,2,14.0,전북특별자치도,전주시,완산구,효자동1가,효자동1가
apartment,04f6351c6b916f2467794eb1618d6d3f5d25042ae827ba6723c529f771c78031,nonurban,m16_25,le20,myeon,123,8,34,44,24,13,20.0,충청북도,진천군,광혜원면,,광혜원면
apartment,04f6ad66437a90e4418ec077038e94ecfb0e4970779db9d4b6cb744a1af415fd,nonurban,m16_25,le20,myeon,106,6,13,62,20,5,16.0,충청남도,당진시,송산면,,송산면
apartment,04f6cf3434aa1eff648dcabcb1e6910027fb6f82bd925c6d27db229636795f01,metro,m16_25,le20,dong,53,8,11,30,3,1,19.0,경기도,고양시,일산동구,마두동,마두동
