sido_code,sido_name,sigungu_code,sigungu_name,land_category,region_type,n,area_p10,area_p50,area_p75,area_p90,p90_p50,n_ge_300,n_ge_500,n_ge_1000,n_ge_3000,n_ge_5000,n_dongs,dong_n_median,eligible,gate_reasons,n_tier,b_preview
26,부산광역시,26200,영도구,전,metro_gu,31,4.0,99.0,390.5,780.0,7.8788,10,4,2,2,1,4,7.5,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26230,부산진구,답,metro_gu,30,9.0,91.6,260.0,729.3,7.9618,7,4,3,1,0,6,2.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26230,부산진구,대,metro_gu,1120,3.242,29.0,75.25,146.0,5.0345,38,15,5,1,1,11,88.0,True,[],better,B_ok
26,부산광역시,26230,부산진구,전,metro_gu,10,5.7,21.5,74.25,214.7,9.986,0,0,0,0,0,8,1.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26260,동래구,답,metro_gu,29,9.6,145.0,461.0,1932.0,13.3241,10,7,4,2,0,4,3.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26260,동래구,대,metro_gu,278,9.0,100.5,205.0,381.52,3.7962,43,18,5,1,0,9,18.0,True,[],good,B_ok
26,부산광역시,26260,동래구,전,metro_gu,20,7.0,28.5,73.0,128.5,4.5088,1,1,0,0,0,5,2.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26290,남구,답,metro_gu,18,7.8,85.5,171.75,236.6,2.7673,1,1,0,0,0,4,5.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26290,남구,대,metro_gu,652,4.0,35.5,97.0,176.0,4.9577,27,11,2,1,0,6,91.0,False,['metro_width'],better,B_ok
26,부산광역시,26290,남구,전,metro_gu,201,4.0,40.0,116.0,271.0,6.775,17,5,1,0,0,5,37.0,False,['no_gate_for_type_jimok'],good,B_ok
26,부산광역시,26320,북구,답,metro_gu,65,25.0,212.0,397.0,948.0,4.4717,26,13,5,0,0,5,16.0,False,['no_gate_for_type_jimok'],note,B_ok
26,부산광역시,26320,북구,대,metro_gu,105,6.24,97.6,217.0,345.68,3.5418,15,7,2,0,0,5,18.0,False,['n<150'],ok,B_ok
26,부산광역시,26320,북구,전,metro_gu,15,28.4,446.0,1002.5,1517.2,3.4018,9,7,4,0,0,3,3.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26350,해운대구,답,metro_gu,80,3.9,108.5,405.5,663.2,6.1124,22,17,3,0,0,7,8.0,False,['no_gate_for_type_jimok'],ok,B_ok
26,부산광역시,26350,해운대구,대,metro_gu,380,7.0,94.0,218.75,456.0,4.8511,69,33,7,5,3,8,36.5,True,[],better,B_ok
26,부산광역시,26350,해운대구,전,metro_gu,75,34.2,234.0,570.0,983.8,4.2043,31,21,6,1,0,8,5.0,False,['no_gate_for_type_jimok'],note,B_skip
26,부산광역시,26380,사하구,답,metro_gu,18,4.1,201.0,465.75,575.6,2.8637,7,3,1,0,0,4,2.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26380,사하구,대,metro_gu,194,5.0,69.2,134.475,270.8,3.9133,19,8,3,1,0,8,24.0,False,['metro_width'],good,B_ok
26,부산광역시,26380,사하구,전,metro_gu,49,31.8,177.0,292.0,607.6,3.4328,12,6,4,1,0,7,7.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26410,금정구,답,metro_gu,133,89.92,470.0,914.0,1466.8,3.1209,82,63,30,1,0,13,5.0,False,['no_gate_for_type_jimok'],ok,B_skip
26,부산광역시,26410,금정구,대,metro_gu,231,15.0,133.8,243.5,403.0,3.012,43,13,3,0,0,13,9.0,True,[],good,B_ok
26,부산광역시,26410,금정구,전,metro_gu,68,20.5,284.5,517.75,865.3,3.0415,33,20,5,0,0,10,2.5,False,['no_gate_for_type_jimok'],note,B_skip
26,부산광역시,26440,강서구,답,metro_gu,1008,47.7,682.0,1928.5,2975.0,4.3622,715,588,413,70,4,21,15.0,False,['no_gate_for_type_jimok'],better,B_ok
26,부산광역시,26440,강서구,대,metro_gu,497,17.0,214.9,465.1,856.56,3.9859,193,114,43,10,6,21,12.0,True,[],better,B_ok
26,부산광역시,26440,강서구,전,metro_gu,439,36.8,360.0,798.9,1686.0,4.6833,247,162,83,12,4,19,9.0,False,['no_gate_for_type_jimok'],better,B_ok
26,부산광역시,26470,연제구,답,metro_gu,11,25.0,67.0,147.5,278.0,4.1493,1,0,0,0,0,2,5.5,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26470,연제구,대,metro_gu,229,10.0,109.0,176.5,314.92,2.8892,26,15,6,4,0,2,114.5,True,[],good,B_skip
26,부산광역시,26470,연제구,전,metro_gu,4,58.8,127.5,194.5,262.0,2.0549,1,0,0,0,0,2,2.0,False,['no_gate_for_type_jimok'],exclude,B_skip
