building_key,pnu,elevator,ride,emgen,n_dongs,mixed,floors_above,reason
050e120e48aa9666d85f50f81ab474372c24ae300fdbdb2771e5abb33b362886,5013010600118910001,,5,0,4,True,4,mixed
056b272eded4578bc859bbe850b37dffe9fa23cb2fe118e5494f91d301b9ee36,2644012200101130000,0,0,0,1,False,4,
0579d8cfe7cec20050bad91631d3a760dfadeabfb9d32ef8db25695615a3912b,4159031022101420008,,,,0,False,,no_housing
05b1ab7ac446dd551adbcaeb7ad5fc7083dd9a7723bc9aac9a878b8a3f3de275,4122025623100860125,0,0,0,1,False,4,
05c72c7c1d1dfc617c7093384c81acc1d42ae705b0e34055d49fa1b972a20aa7,5011012200138470000,1,10,0,10,False,4,
05cc22e11a48aa85bde138f3bfc6452c07da5ceb87d006c1b56625231c409597,2872036022102100024,1,1,0,1,False,4,
05cea31a315c9ec88ca1ee8681b385a5abe99441c18c2a590daa746bdf67dcbe,1213013400118660001,1,38,0,13,False,4,
05f5f2a688e8750531d8a62d762a31da5e3fc42e405ec3a46ed84e7863f3e709,4113511400100130000,0,0,0,12,False,4,
063042bc00cf83792b79da4a4c1de6bb4e9e7ab73087d33b017715026de94b73,4146311200103410015,0,0,0,2,False,4,
0657a9b235ae14826a00cc90e3f45ed625f39867741fd0aa3f06a6c6d450da3a,5011013600118970000,1,3,0,3,False,4,
06944b21907b03483150f5df41c3196b0a7da3a5e7bf9420d5b5e2a438fc8a48,5173033022102160000,1,2,0,2,False,4,
0694bb831e3c96e977d37850a9f01e8abe93783fc5f8227783580b5fe0e081cc,2650010400101770003,0,0,0,1,False,4,
0767c25252aaa9144c112c259c67650495d0885993bed2075bb6c45d89f3617b,4777036031101460009,0,0,0,1,False,4,
0796debb247da4dea9718acd3befcdd8b41d6453e597e9dc23e9c271146e59ba,4711325032115670000,0,0,0,1,False,4,
07bc2894400957cb7b8c07b6b7315a2e44599bdf969a23565b2d733c8baef1f3,4831036023103560000,1,6,0,6,False,4,
08142f8692801a6a388e80fbdf9ad0249c7c1adb4057edd30cb0f6f3391df9ad,4793037022101740000,0,0,0,1,False,4,
084bdf2d71089b4156f7a2ab9e0ce57d39124ee73a3c2fcd0cefd3400338ebed,1129013800102190314,1,1,0,1,False,4,
085e20fc52cd59debf1eaa49c09763566e965b715dd2e9f8905cd19615978580,2626010800112100008,0,0,0,1,False,4,
08ba0f66f0460e08c025af24b7d1d0e1310ae34371a57478104ac1d4475b6f55,4884025027109500004,1,2,0,2,False,4,
08cdb25d57bdebfa394ed018929b54833031d6440b228e5250144e190123230c,4311410600101860008,0,0,0,3,False,4,
08dadbfd88317a56ce3d4c18ffd08f6509af3eb9bbd77649d9b8677da71b09a5,4146125023104220056,0,0,0,1,False,4,
0901c656467dc056ed225f5ac99bb0ce7e8a6277cc6ff250d4a6ac9719da8e68,4113510100101130000,0,0,0,7,False,4,
09691ba443ee3e298eb1d9571f9a7115de1cb157b8ff7ba54039ceec3801a36f,4148011500105590000,,18,0,12,True,4,mixed
09c4b61abac76992864d98fbbdd404a1cc4d7a2830c6ac639e0ebf725daf2378,4157010300113390001,1,29,0,13,False,5,
09e3a2242d570e0694337c1ec837397d1971cdfa22346841841651b9243734b7,1123010600101320015,0,0,0,1,False,4,
09fe158ce3f0ec5767940f11002ea68be1d9d01fabb407d08cf4a686d741c892,5211310700106310204,0,0,0,1,False,4,
