historical_code,canonical_code,historical_name,canonical_name,tx_count_historical,tx_count_db,mapping_ok,action,exemplar
4159041025,4159333025,경기도 화성시 정남면 오일리,경기도 화성시 효행구 정남면 오일리,463,463,True,already_present,
4159041026,4159333026,경기도 화성시 정남면 백리,경기도 화성시 효행구 정남면 백리,1394,1394,True,already_present,
4159041027,4159333027,경기도 화성시 정남면 문학리,경기도 화성시 효행구 정남면 문학리,2217,2217,True,already_present,
4159041028,4159333028,경기도 화성시 정남면 신리,경기도 화성시 효행구 정남면 신리,488,488,True,already_present,
4159041029,4159333029,경기도 화성시 정남면 계향리,경기도 화성시 효행구 정남면 계향리,870,870,True,already_present,
4159041030,4159333030,경기도 화성시 정남면 귀래리,경기도 화성시 효행구 정남면 귀래리,2935,2935,True,already_present,
4159041031,4159333031,경기도 화성시 정남면 제기리,경기도 화성시 효행구 정남면 제기리,494,494,True,already_present,
4159041032,4159333032,경기도 화성시 정남면 덕절리,경기도 화성시 효행구 정남면 덕절리,1677,1677,True,already_present,
4159041033,4159333033,경기도 화성시 정남면 음양리,경기도 화성시 효행구 정남면 음양리,503,503,True,already_present,
4159041034,4159333034,경기도 화성시 정남면 망월리,경기도 화성시 효행구 정남면 망월리,419,419,True,already_present,
4159041035,4159333035,경기도 화성시 정남면 수면리,경기도 화성시 효행구 정남면 수면리,674,674,True,already_present,
4159041036,4159333036,경기도 화성시 정남면 내리,경기도 화성시 효행구 정남면 내리,342,342,True,already_present,
4159041037,4159333037,경기도 화성시 정남면 금복리,경기도 화성시 효행구 정남면 금복리,193,193,True,already_present,
4159041038,4159333038,경기도 화성시 정남면 고지리,경기도 화성시 효행구 정남면 고지리,414,414,True,already_present,
4159041039,4159333039,경기도 화성시 정남면 용수리,경기도 화성시 효행구 정남면 용수리,447,447,True,already_present,
4377034021,4377025621,충청북도 음성군 대소면 오산리,충청북도 음성군 대소읍 오산리,78,78,True,already_present,
4377034022,4377025622,충청북도 음성군 대소면 태생리,충청북도 음성군 대소읍 태생리,237,237,True,already_present,
4377034023,4377025623,충청북도 음성군 대소면 소석리,충청북도 음성군 대소읍 소석리,214,214,True,already_present,
4377034024,4377025624,충청북도 음성군 대소면 성본리,충청북도 음성군 대소읍 성본리,389,389,True,already_present,
4377034025,4377025625,충청북도 음성군 대소면 부윤리,충청북도 음성군 대소읍 부윤리,296,296,True,already_present,
4377034026,4377025626,충청북도 음성군 대소면 수태리,충청북도 음성군 대소읍 수태리,220,220,True,already_present,대소면→대소읍 수태리 (UI GIS/통계 충돌 사례)
4377034027,4377025627,충청북도 음성군 대소면 삼정리,충청북도 음성군 대소읍 삼정리,311,311,True,already_present,
4377034028,4377025628,충청북도 음성군 대소면 미곡리,충청북도 음성군 대소읍 미곡리,315,315,True,already_present,
4377034029,4377025629,충청북도 음성군 대소면 삼호리,충청북도 음성군 대소읍 삼호리,78,78,True,already_present,
4377034030,4377025630,충청북도 음성군 대소면 내산리,충청북도 음성군 대소읍 내산리,155,155,True,already_present,
4377034031,4377025631,충청북도 음성군 대소면 오류리,충청북도 음성군 대소읍 오류리,264,264,True,already_present,
4377034032,4377025632,충청북도 음성군 대소면 대풍리,충청북도 음성군 대소읍 대풍리,219,219,True,already_present,
